title,link,rating,duration,fullLink,description
Introduction to Forensic Science,/learn/forensic-science,4.9,Mixed · Course · 1-3 Months,,We have all seen forensic scientists in TV shows, but how do they really work? What is the science behind their work?
Gmail en Español,/learn/gmail-es,4.8,Beginner · Course · 1-3 Months,,Gmail es el servicio de correo electrónico basado en la nube de Google que le permite acceder a sus mensajes desde cualquier computadora o dispositivo con solo un navegador web.
Google Drive en Español,/learn/google-drive-es,4.6,Beginner · Course · 1-3 Months,,Google Drive es el servicio de almacenamiento de archivos de Google basado en la nube. Con Google Drive, puede guardar todo su trabajo en un lugar, ver diferentes formatos de archivos sin tener que usar software adicional y acceder a sus archivos desde cualquier dispositivo.
Use vídeos en sus posts de redes sociales con Canva,/projects/use-videos-posts-redes-sociales-canva,,Intermediate · Guided Project · Less Than 2 Hours,,
Un carnet interculturel pour une mobilité universitaire,/learn/carnet-interculturel,,Beginner · Course · 3-6 Months,,Consulter le teaser du MOOC (lien à copier) : https://www.coursera.org/lecture/carnet-interculturel/teaser-H4C3e
Linux: Use NANO editor to edit a Bash Script,/projects/linux-nano-edit-bash-script,,Intermediate · Guided Project · Less Than 2 Hours,,
Gestion de projet Agile,/learn/gestion-de-projet-agile-google,,Beginner · Course · 1-4 Weeks,,Il s’agit du cinquième cours du programme de Certification en gestion de projet Google. Ce cours explorera l’historique, l’approche et la philosophie de la gestion de projet Agile, notamment le cadre Scrum. Vous apprendrez à différencier et à combiner Agile à d’autres approches de gestion de projet. Au fur et à mesure que vous progresserez dans le cours, vous en apprendrez plus sur Scrum, en explorant ses piliers et ses valeurs et en comparant les rôles essentiels de l’équipe Scrum. Vous découvrirez comment créer, gérer et affiner un carnet de produit, mettre en œuvre les stratégies de livraison axées sur la valeur d’Agile et définir une feuille de route de la valeur. Vous apprendrez aussi des stratégies pour organiser efficacement les cinq événements Scrum importants pour une équipe Scrum, introduire une approche Agile ou Scrum dans une organisation et encadrer une équipe Agile. Enfin, vous apprendrez à rechercher et à décrocher des missions dans un poste Agile. Les chefs de projet Google actuels continueront de vous former et de vous fournir les approches pratiques, les outils et les ressources nécessaires pour atteindre vos objectifs.
Organizational Leadership,/specializations/organizational-leadership,4.7,Intermediate · Specialization · 3-6 Months,,Some related experience required.
Discrete Optimization,/learn/discrete-optimization,4.8,Intermediate · Course · 1-3 Months,,Tired of solving Sudokus by hand? This class teaches you how to solve complex search problems with discrete optimization concepts and algorithms, including constraint programming, local search, and mixed-integer programming.
Big Data – Introducción al uso práctico de datos masivos,/specializations/big-data-introduccion,4.6,Beginner · Specialization · 3-6 Months,,
Leadership Through Marketing,/learn/leadership-marketing,4.6,Mixed · Course · 1-4 Weeks,,The success of every organization depends on attracting and retaining customers. Although the marketing concepts for doing so are well established, digital technology has empowered customers, while producing massive amounts of data, revolutionizing the processes through which organizations attract and retain customers. In this course, students will learn how to identify new opportunities to create value for empowered consumers, develop strategies that yield an advantage over rivals, and develop the data science skills to lead more effectively, allocate resources, and to confront this very challenging environment with confidence.
Organizational Leadership Capstone,/learn/leadership-capstone,4.7,Mixed · Course · 1-3 Months,,The capstone project consists of a case study that must be addressed to complete the specialization.
Big Data: capstone project,/learn/big-data-proyecto,4.7,Advanced · Course · 1-3 Months,,En este último curso de la Especialización Big Data el estudiante tendrá la oportunidad de aplicar algunas de las herramientas y métodos aprendidos en los cursos anteriores en un caso práctico.
Digital Product Management: Modern Fundamentals,/learn/uva-darden-digital-product-management,4.7,Beginner · Course · 1-4 Weeks,,Not so long ago, the job of product manager was about assessing market data, creating requirements, and managing the hand-off to sales/marketing. Maybe you’d talk to a customer somewhere in there and they’d tell you what features they wanted. But companies that manage product that way are dying.
Database Design and Basic SQL in PostgreSQL,/learn/database-design-postgresql,4.8,Intermediate · Course · 1-4 Weeks,,In this course you will learn more about the historical design of databases and the use of SQL in the PostgreSQL environment. Using SQL techniques and common commands (INSERT INTO, WHERE, ORDER BY, ON DELETE CASCADE, etc) will enable you to create tables, column types and define the schema of your data in PostgreSQL.    You will learn about data modeling and how to represent one-to-many and many-to-many relationships in PostgreSQL.   Students will do hands-on assignments creating tables, inserting data, designing data models, creating relational structures and inserting and querying relational data in tables.
Building Web Applications in Django,/learn/django-build-web-apps,4.7,Intermediate · Course · 1-4 Weeks,,In this course, you will learn how Django communicates with a database through model objects. You will explore Object-Relational Mapping (ORM) for database access and how Django models implement this pattern.  We will review the Object-Oriented (OO) pattern in Python.  You will learn basic Structured Query Language (SQL) and database modeling, including one-to-many and many-to-many relationships and how they work in both the SQL and Django models. You will learn how to use the Django console and scripts to work with your application objects interactively.
